대여소_ID,시군구,시군구코드,,
516,강서구,11050,,
517,강서구,11050,,
518,강서구,11050,,
519,강서구,11050,,
520,강서구,11050,,
521,강서구,11050,,
522,강서구,11050,,
523,강서구,11050,,
524,강서구,11050,,
525,강서구,11050,,
526,강서구,11050,,
527,강서구,11050,,
528,강서구,11050,,
529,강서구,11050,,
530,강서구,11050,,
531,강서구,11050,,
532,강서구,11050,,
533,강서구,11050,,
534,강서구,11050,,
535,강서구,11050,,
536,강서구,11050,,
537,강서구,11050,,
538,강서구,11050,,
539,강서구,11050,,
540,강서구,11050,,
541,강서구,11050,,
542,강서구,11050,,
543,강서구,11050,,
544,강서구,11050,,
545,강서구,11050,,
546,강서구,11050,,
547,강서구,11050,,
548,강서구,11050,,
549,강서구,11060,,
550,강서구,11060,,
551,강서구,11060,,
552,강서구,11060,,
553,강서구,11060,,
554,강서구,11060,,
555,강서구,11060,,
556,강서구,11060,,
557,강서구,11060,,
558,강서구,11060,,
559,강서구,11060,,
560,강서구,11060,,
561,강서구,11060,,
562,강서구,11060,,
563,강서구,11060,,
564,강서구,11060,,
565,강서구,11060,,
566,강서구,11060,,
567,강서구,11060,,
568,강서구,11060,,
569,강서구,11060,,
570,강서구,11060,,
571,강서구,11060,,
572,강서구,11060,,
573,강서구,11060,,
574,강서구,11060,,
575,강서구,11060,,
576,강서구,11060,,
577,강서구,11060,,
578,강서구,11060,,
579,강서구,11060,,
580,강서구,11060,,
581,강서구,11060,,
582,강서구,11060,,
583,강서구,11060,,
584,강서구,11060,,
585,강서구,11060,,
586,강서구,11060,,
587,강서구,11060,,
588,강서구,11060,,
589,강서구,11060,,
590,강서구,11060,,
591,강서구,11060,,
592,강서구,11060,,
593,강서구,11060,,
594,강서구,11060,,
595,강서구,11060,,
596,강서구,11060,,
597,강서구,11060,,
598,강서구,11060,,
599,강서구,11060,,
600,강서구,11060,,
601,강서구,11060,,
602,강서구,11060,,
603,강서구,11060,,
604,강서구,11060,,
605,강서구,11060,,
606,강서구,11060,,
607,강서구,11060,,
608,강서구,11060,,
609,관악구,11060,,
610,관악구,11060,,
611,관악구,11060,,
612,관악구,11060,,
613,관악구,11060,,
614,관악구,11060,,
615,관악구,11060,,
616,관악구,11060,,
617,관악구,11060,,
618,관악구,11060,,
619,관악구,11060,,
620,관악구,11060,,
621,관악구,11060,,
622,관악구,11060,,
623,관악구,11060,,
624,관악구,11060,,
625,관악구,11060,,
626,관악구,11060,,
627,관악구,11060,,
628,관악구,11060,,
629,관악구,11060,,
630,관악구,11060,,
631,관악구,11060,,
632,관악구,11060,,
633,관악구,11060,,
634,관악구,11060,,
635,관악구,11060,,
636,관악구,11060,,
637,관악구,11060,,
638,관악구,11060,,
639,관악구,11060,,
640,관악구,11060,,
641,관악구,11060,,
642,관악구,11060,,
643,관악구,11060,,
644,관악구,11060,,
645,관악구,11060,,
646,관악구,11060,,
647,관악구,11060,,
648,관악구,11070,,
649,관악구,11070,,
650,관악구,11070,,
651,관악구,11070,,
652,관악구,11070,,
653,관악구,11080,,
654,관악구,11080,,
655,관악구,11080,,
656,관악구,11080,,
657,관악구,11080,,
658,관악구,11080,,
659,관악구,11080,,
660,관악구,11080,,
661,관악구,11080,,
662,관악구,11080,,
663,관악구,11080,,
664,관악구,11080,,
665,관악구,11080,,
666,관악구,11080,,
667,관악구,11080,,
668,관악구,11080,,
669,관악구,11080,,
670,관악구,11080,,
671,관악구,11080,,
672,관악구,11080,,
673,관악구,11080,,
674,관악구,11080,,
675,관악구,11080,,
676,관악구,11080,,
677,관악구,11080,,
678,관악구,11080,,
679,관악구,11080,,
680,관악구,11080,,
681,관악구,11080,,
682,관악구,11080,,
683,관악구,11080,,
684,관악구,11080,,
685,관악구,11080,,
686,관악구,11080,,
687,관악구,11080,,
688,관악구,11080,,
689,관악구,11080,,
690,관악구,11080,,
691,관악구,11080,,
692,관악구,11080,,
693,관악구,11080,,
694,관악구,11080,,
695,관악구,11080,,
696,관악구,11080,,
697,관악구,11080,,
698,관악구,11080,,
699,관악구,11080,,
700,관악구,11080,,
701,관악구,11080,,
702,관악구,11080,,
703,관악구,11080,,
704,관악구,11080,,
705,관악구,11080,,
706,관악구,11080,,
707,관악구,11080,,
708,관악구,11080,,
709,관악구,11080,,
710,관악구,11080,,
711,관악구,11080,,
712,관악구,11080,,
713,광진구,11080,,
714,광진구,11080,,
715,광진구,11080,,
716,광진구,11080,,
717,광진구,11080,,
718,광진구,11080,,
719,광진구,11080,,
720,광진구,11080,,
721,광진구,11080,,
722,광진구,11080,,
723,광진구,11080,,
724,광진구,11080,,
725,광진구,11080,,
726,광진구,11080,,
727,광진구,11080,,
728,광진구,11080,,
729,광진구,11080,,
730,광진구,11080,,
731,광진구,11080,,
732,광진구,11080,,
733,광진구,11080,,
734,광진구,11080,,
735,광진구,11080,,
736,광진구,11080,,
737,광진구,11080,,
738,광진구,11080,,
739,광진구,11080,,
740,광진구,11080,,
741,광진구,11080,,
742,광진구,11080,,
743,광진구,11080,,
744,광진구,11080,,
745,광진구,11080,,
746,광진구,11080,,
747,광진구,11080,,
748,광진구,11080,,
749,광진구,11080,,
750,광진구,11080,,
751,광진구,11080,,
752,광진구,11080,,
753,광진구,11080,,
754,광진구,11080,,
755,광진구,11080,,
756,광진구,11080,,
757,광진구,11080,,
758,광진구,11090,,
759,광진구,11090,,
760,광진구,11090,,
761,광진구,11090,,
762,광진구,11090,,
763,광진구,11090,,
764,광진구,11090,,
765,광진구,11090,,
766,광진구,11090,,
767,광진구,11090,,
768,광진구,11090,,
769,광진구,11090,,
770,광진구,11090,,
771,광진구,11090,,
772,광진구,11090,,
773,광진구,11090,,
774,광진구,11090,,
775,광진구,11090,,
776,광진구,11090,,
777,광진구,11090,,
778,광진구,11090,,
779,광진구,11090,,
780,광진구,11090,,
781,광진구,11090,,
782,광진구,11090,,
783,광진구,11090,,
784,광진구,11090,,
785,광진구,11090,,
786,광진구,11090,,
787,광진구,11090,,
788,광진구,11090,,
789,광진구,11090,,
790,광진구,11090,,
791,광진구,11090,,
792,광진구,11090,,
793,광진구,11090,,
794,광진구,11090,,
795,광진구,11090,,
796,광진구,11090,,
797,광진구,11090,,
798,광진구,11090,,
799,광진구,11090,,
800,광진구,11090,,
801,광진구,11090,,
802,광진구,11090,,
803,광진구,11090,,
804,광진구,11090,,
805,광진구,11090,,
806,광진구,11090,,
807,광진구,11090,,
808,광진구,11090,,
809,광진구,11090,,
810,광진구,11090,,
811,광진구,11090,,
812,광진구,11090,,
813,광진구,11090,,
814,광진구,11090,,
815,구로구,11090,,
816,구로구,11090,,
817,구로구,11090,,
818,구로구,11090,,
819,구로구,11090,,
820,구로구,11090,,
821,구로구,11090,,
822,구로구,11090,,
823,구로구,11090,,
824,구로구,11090,,
